Time	Distance	Velocity
0.978	0.84773	1.1073
0.98	0.84995	1.10599
0.982	0.85216	1.10467
0.984	0.85436	1.10335
0.986	0.85657	1.10201
0.988	0.85877	1.10066
0.99	0.86097	1.0993
0.992	0.86317	1.09793
0.994	0.86536	1.09655
0.996	0.86756	1.09516
0.998	0.86974	1.09376
1	0.87193	1.08935
1.002	0.8741	1.08194
1.004	0.87626	1.07453
1.006	0.8784	1.06713
1.008	0.88052	1.05972
1.01	0.88264	1.05232
1.012	0.88473	1.04492
1.014	0.88682	1.03753
1.016	0.88888	1.03013
1.018	0.89094	1.02274
1.02	0.89298	1.01535
1.022	0.895	1.00796
1.024	0.89701	1.00058
1.026	0.899	0.9932
1.028	0.90098	0.98582
1.03	0.90294	0.97844
1.032	0.90489	0.97107
1.034	0.90683	0.9637
1.036	0.90875	0.95633
1.038	0.91065	0.94897
1.04	0.91254	0.94161
1.042	0.91442	0.93425
1.044	0.91628	0.9269
1.046	0.91813	0.91955
1.048	0.91996	0.9122
1.05	0.92178	0.90486
1.052	0.92358	0.89752
1.054	0.92537	0.89019
1.056	0.92714	0.88286
1.058	0.9289	0.87553
1.06	0.93064	0.86821
1.062	0.93237	0.86089
1.064	0.93409	0.85357
1.066	0.93579	0.84627
1.068	0.93747	0.83896
1.07	0.93914	0.83166
1.072	0.9408	0.82436
1.074	0.94244	0.81707
1.076	0.94407	0.80979
1.078	0.94568	0.80251
1.08	0.94728	0.79523
1.082	0.94886	0.78796
1.084	0.95043	0.78069
1.086	0.95198	0.77343
1.088	0.95352	0.76617
1.09	0.95505	0.75892
1.092	0.95656	0.75168
1.094	0.95805	0.74444
1.096	0.95953	0.7372
1.098	0.961	0.72997
1.1	0.96245	0.72275
1.102	0.96389	0.71553
1.104	0.96532	0.70832
1.106	0.96673	0.70112
1.108	0.96812	0.69392
1.11	0.9695	0.68672
1.112	0.97087	0.67954
1.114	0.97222	0.67235
1.116	0.97356	0.66518
1.118	0.97488	0.65801
1.12	0.97619	0.65085
1.122	0.97748	0.64369
1.124	0.97876	0.63654
1.126	0.98003	0.6294
1.128	0.98128	0.62227
1.13	0.98252	0.61514
1.132	0.98374	0.60802
1.134	0.98495	0.6009
1.136	0.98615	0.59379
1.138	0.98733	0.58669
1.14	0.98849	0.5796
1.142	0.98964	0.57251
1.144	0.99078	0.56543
1.146	0.99191	0.55836
1.148	0.99302	0.5513
1.15	0.99411	0.54424
1.152	0.99519	0.53719
1.154	0.99626	0.53015
1.156	0.99731	0.52311
1.158	0.99835	0.51609
1.16	0.99938	0.50907
1.162	1.00039	0.50206
1.164	1.00139	0.49506
1.166	1.00237	0.48806
1.168	1.00334	0.48108
1.17	1.00429	0.4741
1.172	1.00523	0.46713
1.174	1.00616	0.46017
1.176	1.00708	0.45321
1.178	1.00798	0.44627
1.18	1.00886	0.43933
1.182	1.00973	0.43241
1.184	1.01059	0.42549
1.186	1.01143	0.41858
1.188	1.01226	0.41167
1.19	1.01308	0.40478
1.192	1.01388	0.3979
1.194	1.01467	0.39102
1.196	1.01545	0.38416
1.198	1.01621	0.3773
1.2	1.01696	0.37045
1.202	1.01769	0.36362
1.204	1.01841	0.35679
1.206	1.01912	0.34997
1.208	1.01981	0.34316
1.21	1.02049	0.33636
1.212	1.02116	0.32957
1.214	1.02181	0.32279
1.216	1.02245	0.31601
1.218	1.02307	0.30925
1.22	1.02369	0.3025
1.222	1.02428	0.29576
1.224	1.02487	0.28903
1.226	1.02544	0.2823
1.228	1.026	0.27559
1.23	1.02654	0.26889
1.232	1.02707	0.2622
1.234	1.02759	0.25552
1.236	1.02809	0.24884
1.238	1.02859	0.24218
1.24	1.02906	0.23553
1.242	1.02953	0.22889
1.244	1.02998	0.22226
1.246	1.03042	0.21564
1.248	1.03084	0.20904
1.25	1.03125	0.20244
1.252	1.03165	0.19585
1.254	1.03204	0.18927
