                Time            Position            Velocity
             0.59800             0.17006             0.46810
             0.60000             0.17100             0.46864
             0.60200             0.17193             0.46917
             0.60400             0.17287             0.46970
             0.60600             0.17381             0.47022
             0.60800             0.17475             0.47073
             0.61000             0.17570             0.47124
             0.61200             0.17664             0.47174
             0.61400             0.17758             0.47223
             0.61600             0.17853             0.47272
             0.61800             0.17947             0.47320
             0.62000             0.18042             0.47367
             0.62200             0.18137             0.47414
             0.62400             0.18232             0.47460
             0.62600             0.18327             0.47505
             0.62800             0.18422             0.47550
             0.63000             0.18517             0.47594
             0.63200             0.18612             0.47637
             0.63400             0.18707             0.47680
             0.63600             0.18803             0.47722
             0.63800             0.18898             0.47764
             0.64000             0.18994             0.47804
             0.64200             0.19090             0.47845
             0.64400             0.19185             0.47884
             0.64600             0.19281             0.47923
             0.64800             0.19377             0.47961
             0.65000             0.19473             0.47998
             0.65200             0.19569             0.48035
             0.65400             0.19665             0.48071
             0.65600             0.19761             0.48107
             0.65800             0.19857             0.48142
             0.66000             0.19954             0.48176
             0.66200             0.20050             0.48210
             0.66400             0.20147             0.48243
             0.66600             0.20243             0.48275
             0.66800             0.20340             0.48307
             0.67000             0.20436             0.48338
             0.67200             0.20533             0.48368
             0.67400             0.20630             0.48398
             0.67600             0.20727             0.48427
             0.67800             0.20824             0.48455
             0.68000             0.20920             0.48483
             0.68200             0.21017             0.48510
             0.68400             0.21115             0.48537
             0.68600             0.21212             0.48563
             0.68800             0.21309             0.48588
             0.69000             0.21406             0.48613
             0.69200             0.21503             0.48637
             0.69400             0.21601             0.48660
             0.69600             0.21698             0.48683
             0.69800             0.21795             0.48705
             0.70000             0.21893             0.48727
             0.70200             0.21990             0.48748
             0.70400             0.22088             0.48768
             0.70600             0.22185             0.48787
             0.70800             0.22283             0.48806
             0.71000             0.22380             0.48825
             0.71200             0.22478             0.48843
             0.71400             0.22576             0.48860
             0.71600             0.22674             0.48876
             0.71800             0.22771             0.48892
             0.72000             0.22869             0.48907
             0.72200             0.22967             0.48922
             0.72400             0.23065             0.48936
             0.72600             0.23163             0.48950
             0.72800             0.23261             0.48962
             0.73000             0.23359             0.48975
             0.73200             0.23457             0.48986
             0.73400             0.23555             0.48997
             0.73600             0.23653             0.49007
             0.73800             0.23751             0.49017
             0.74000             0.23849             0.49026
             0.74200             0.23947             0.49035
             0.74400             0.24045             0.49043
             0.74600             0.24143             0.49050
             0.74800             0.24241             0.49057
             0.75000             0.24339             0.49063
             0.75200             0.24437             0.49069
             0.75400             0.24535             0.49074
             0.75600             0.24633             0.49078
             0.75800             0.24732             0.49082
             0.76000             0.24830             0.49085
             0.76200             0.24928             0.49087
             0.76400             0.25026             0.49089
             0.76600             0.25124             0.49091
             0.76800             0.25223             0.49092
             0.77000             0.25321             0.49092
             0.77200             0.25419             0.49091
             0.77400             0.25517             0.49090
             0.77600             0.25615             0.49089
             0.77800             0.25713             0.49087
             0.78000             0.25812             0.49084
             0.78200             0.25910             0.49080
             0.78400             0.26008             0.49077
             0.78600             0.26106             0.49072
             0.78800             0.26204             0.49067
             0.79000             0.26302             0.49061
             0.79200             0.26400             0.49055
             0.79400             0.26499             0.49048
             0.79600             0.26597             0.49041
             0.79800             0.26695             0.49033
             0.80000             0.26793             0.49025
             0.80200             0.26891             0.49015
             0.80400             0.26989             0.49006
             0.80600             0.27087             0.48996
             0.80800             0.27185             0.48985
             0.81000             0.27283             0.48973
             0.81200             0.27381             0.48961
             0.81400             0.27479             0.48949
             0.81600             0.27576             0.48936
             0.81800             0.27674             0.48922
             0.82000             0.27772             0.48908
             0.82200             0.27870             0.48893
             0.82400             0.27968             0.48878
             0.82600             0.28065             0.48862
             0.82800             0.28163             0.48846
             0.83000             0.28261             0.48829
             0.83200             0.28359             0.48811
             0.83400             0.28456             0.48793
             0.83600             0.28554             0.48775
             0.83800             0.28651             0.48756
             0.84000             0.28749             0.48736
             0.84200             0.28846             0.48716
             0.84400             0.28944             0.48695
             0.84600             0.29041             0.48674
             0.84800             0.29138             0.48652
             0.85000             0.29236             0.48629
             0.85200             0.29333             0.48606
             0.85400             0.29430             0.48583
             0.85600             0.29527             0.48559
             0.85800             0.29624             0.48534
             0.86000             0.29721             0.48509
             0.86200             0.29818             0.48484
             0.86400             0.29915             0.48458
             0.86600             0.30012             0.48431
             0.86800             0.30109             0.48404
             0.87000             0.30206             0.48376
             0.87200             0.30302             0.48348
             0.87400             0.30399             0.48319
             0.87600             0.30496             0.48290
             0.87800             0.30592             0.48260
             0.88000             0.30689             0.48229
             0.88200             0.30785             0.48199
             0.88400             0.30882             0.48167
             0.88600             0.30978             0.48135
             0.88800             0.31074             0.48103
             0.89000             0.31170             0.48070
             0.89200             0.31266             0.48037
             0.89400             0.31362             0.48003
             0.89600             0.31458             0.47968
             0.89800             0.31554             0.47933
             0.90000             0.31650             0.47898
             0.90200             0.31746             0.47862
             0.90400             0.31842             0.47826
             0.90600             0.31937             0.47789
             0.90800             0.32033             0.47751
             0.91000             0.32128             0.47713
             0.91200             0.32224             0.47675
             0.91400             0.32319             0.47636
             0.91600             0.32414             0.47596
             0.91800             0.32509             0.47556
             0.92000             0.32604             0.47516
             0.92200             0.32699             0.47475
             0.92400             0.32794             0.47434
             0.92600             0.32889             0.47392
             0.92800             0.32984             0.47350
             0.93000             0.33078             0.47307
             0.93200             0.33173             0.47263
             0.93400             0.33267             0.47220
             0.93600             0.33362             0.47175
             0.93800             0.33456             0.47130
             0.94000             0.33550             0.47085
             0.94200             0.33645             0.47040
             0.94400             0.33739             0.46993
             0.94600             0.33832             0.46947
             0.94800             0.33926             0.46900
             0.95000             0.34020             0.46852
             0.95200             0.34114             0.46804
             0.95400             0.34207             0.46755
             0.95600             0.34301             0.46706
             0.95800             0.34394             0.46657
             0.96000             0.34487             0.46607
             0.96200             0.34581             0.46557
             0.96400             0.34674             0.46506
             0.96600             0.34767             0.46455
             0.96800             0.34859             0.46403
             0.97000             0.34952             0.46351
             0.97200             0.35045             0.46298
             0.97400             0.35137             0.46245
             0.97600             0.35230             0.46191
             0.97800             0.35322             0.46137
             0.98000             0.35414             0.46083
             0.98200             0.35506             0.46028
             0.98400             0.35598             0.45973
             0.98600             0.35690             0.45917
             0.98800             0.35782             0.45861
             0.99000             0.35874             0.45804
             0.99200             0.35965             0.45747
             0.99400             0.36057             0.45690
             0.99600             0.36148             0.45632
             0.99800             0.36239             0.45573
             1.00000             0.36330             0.45515
             1.00200             0.36421             0.45455
             1.00400             0.36512             0.45396
             1.00600             0.36603             0.45336
             1.00800             0.36694             0.45275
             1.01000             0.36784             0.45214
             1.01200             0.36874             0.45153
             1.01400             0.36965             0.45091
             1.01600             0.37055             0.45029
             1.01800             0.37145             0.44966
             1.02000             0.37235             0.44903
             1.02200             0.37324             0.44840
             1.02400             0.37414             0.44776
             1.02600             0.37504             0.44712
             1.02800             0.37593             0.44647
             1.03000             0.37682             0.44582
             1.03200             0.37771             0.44517
             1.03400             0.37860             0.44451
             1.03600             0.37949             0.44385
             1.03800             0.38038             0.44318
             1.04000             0.38126             0.44251
             1.04200             0.38215             0.44183
             1.04400             0.38303             0.44115
             1.04600             0.38391             0.44047
             1.04800             0.38479             0.43979
             1.05000             0.38567             0.43910
             1.05200             0.38655             0.43840
             1.05400             0.38742             0.43770
             1.05600             0.38830             0.43700
             1.05800             0.38917             0.43630
             1.06000             0.39004             0.43559
             1.06200             0.39091             0.43487
             1.06400             0.39178             0.43416
             1.06600             0.39265             0.43343
             1.06800             0.39352             0.43271
             1.07000             0.39438             0.43198
             1.07200             0.39525             0.43125
             1.07400             0.39611             0.43051
             1.07600             0.39697             0.42977
             1.07800             0.39783             0.42903
             1.08000             0.39868             0.42828
             1.08200             0.39954             0.42753
             1.08400             0.40039             0.42678
             1.08600             0.40125             0.42602
             1.08800             0.40210             0.42526
             1.09000             0.40295             0.42450
             1.09200             0.40380             0.42373
             1.09400             0.40464             0.42296
             1.09600             0.40549             0.42218
             1.09800             0.40633             0.42140
             1.10000             0.40717             0.42062
             1.10200             0.40801             0.41983
             1.10400             0.40885             0.41904
             1.10600             0.40969             0.41825
             1.10800             0.41053             0.41745
             1.11000             0.41136             0.41665
             1.11200             0.41219             0.41585
             1.11400             0.41302             0.41504
             1.11600             0.41385             0.41423
             1.11800             0.41468             0.41342
             1.12000             0.41551             0.41260
             1.12200             0.41633             0.41178
             1.12400             0.41715             0.41096
             1.12600             0.41797             0.41013
             1.12800             0.41879             0.40931
             1.13000             0.41961             0.40847
             1.13200             0.42043             0.40764
             1.13400             0.42124             0.40680
             1.13600             0.42205             0.40595
             1.13800             0.42287             0.40511
             1.14000             0.42368             0.40426
             1.14200             0.42448             0.40341
             1.14400             0.42529             0.40255
             1.14600             0.42609             0.40169
             1.14800             0.42690             0.40083
             1.15000             0.42770             0.39997
             1.15200             0.42850             0.39910
             1.15400             0.42929             0.39823
             1.15600             0.43009             0.39735
             1.15800             0.43088             0.39648
             1.16000             0.43167             0.39560
             1.16200             0.43246             0.39472
             1.16400             0.43325             0.39383
             1.16600             0.43404             0.39294
             1.16800             0.43483             0.39205
             1.17000             0.43561             0.39116
             1.17200             0.43639             0.39026
             1.17400             0.43717             0.38936
             1.17600             0.43795             0.38845
             1.17800             0.43872             0.38755
             1.18000             0.43950             0.38664
             1.18200             0.44027             0.38573
             1.18400             0.44104             0.38481
             1.18600             0.44181             0.38390
             1.18800             0.44258             0.38298
             1.19000             0.44334             0.38205
             1.19200             0.44410             0.38113
             1.19400             0.44487             0.38020
             1.19600             0.44562             0.37927
             1.19800             0.44638             0.37834
             1.20000             0.44714             0.37740
             1.20200             0.44789             0.37646
             1.20400             0.44864             0.37552
             1.20600             0.44939             0.37457
             1.20800             0.45014             0.37363
             1.21000             0.45089             0.37268
             1.21200             0.45163             0.37173
             1.21400             0.45238             0.37077
             1.21600             0.45312             0.36981
             1.21800             0.45385             0.36885
             1.22000             0.45459             0.36789
             1.22200             0.45533             0.36693
             1.22400             0.45606             0.36596
             1.22600             0.45679             0.36499
             1.22800             0.45752             0.36402
             1.23000             0.45825             0.36305
             1.23200             0.45897             0.36207
             1.23400             0.45969             0.36109
             1.23600             0.46042             0.36011
             1.23800             0.46113             0.35912
             1.24000             0.46185             0.35814
             1.24200             0.46257             0.35715
             1.24400             0.46328             0.35616
             1.24600             0.46399             0.35517
             1.24800             0.46470             0.35417
             1.25000             0.46541             0.35317
             1.25200             0.46611             0.35217
             1.25400             0.46682             0.35117
             1.25600             0.46752             0.35017
             1.25800             0.46822             0.34916
             1.26000             0.46892             0.34815
             1.26200             0.46961             0.34714
             1.26400             0.47030             0.34613
             1.26600             0.47100             0.34511
             1.26800             0.47168             0.34409
             1.27000             0.47237             0.34307
             1.27200             0.47306             0.34205
             1.27400             0.47374             0.34103
             1.27600             0.47442             0.34000
             1.27800             0.47510             0.33898
             1.28000             0.47578             0.33795
             1.28200             0.47645             0.33692
             1.28400             0.47712             0.33588
             1.28600             0.47780             0.33485
             1.28800             0.47846             0.33381
             1.29000             0.47913             0.33277
             1.29200             0.47979             0.33173
             1.29400             0.48046             0.33069
             1.29600             0.48112             0.32964
             1.29800             0.48178             0.32859
             1.30000             0.48243             0.32754
             1.30200             0.48309             0.32649
             1.30400             0.48374             0.32544
             1.30600             0.48439             0.32439
             1.30800             0.48504             0.32333
             1.31000             0.48568             0.32227
             1.31200             0.48632             0.32121
             1.31400             0.48697             0.32015
             1.31600             0.48761             0.31909
             1.31800             0.48824             0.31803
             1.32000             0.48888             0.31696
             1.32200             0.48951             0.31589
             1.32400             0.49014             0.31482
             1.32600             0.49077             0.31375
             1.32800             0.49140             0.31268
             1.33000             0.49202             0.31160
             1.33200             0.49264             0.31053
             1.33400             0.49326             0.30945
             1.33600             0.49388             0.30837
             1.33800             0.49450             0.30729
             1.34000             0.49511             0.30621
